2022-05-01 17:27:01 [info]: 	starting IPFS node for content distribution 
2022-05-01 17:27:01 [info]: 	[object Object] 
2022-05-01 17:28:27 [info]: 	starting IPFS node for content distribution 
2022-05-01 17:28:27 [info]: 	[object Object] 
2022-05-01 17:28:27 [info]: 	user validated build settings for /Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651426107354 
2022-05-01 17:28:27 [info]: 	created build destination: '/Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651426107354' 
2022-05-01 17:28:27 [info]: 	copying date from source '/Users/utkashar/Documents/open-source/la-sbom-ledger/sbom-ledger/input/Example/content' to '/Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651426107354' 
2022-05-01 17:28:27 [info]: 	 
2022-05-01 17:28:27 [info]: 	gathering IPFS CID & SHA256 hashes to add to meta data file... 
2022-05-01 17:28:27 [info]: 	adding '/example1651426107354/example.json' with cid hash 'decc4839b2ac09fedf5cb84817cf6223373cce8362b7024749d2f9b3cee51f63' to meta data... 
2022-05-01 17:28:27 [info]: 	Init connection to xrp ledger: "wss://s.altnet.rippletest.net" 
2022-05-01 17:28:29 [info]: 	account secret appears valid: 'ss71fBzFpSXMixT6ZBoXNgkFeBo9y' 
2022-05-01 17:45:22 [info]: 	starting IPFS node for content distribution 
2022-05-01 17:45:22 [info]: 	[object Object] 
2022-05-01 17:45:22 [info]: 	user validated build settings for /Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651427122420 
2022-05-01 17:45:22 [info]: 	created build destination: '/Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651427122420' 
2022-05-01 17:45:22 [info]: 	copying date from source '/Users/utkashar/Documents/open-source/la-sbom-ledger/sbom-ledger/input/Example/content' to '/Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651427122420' 
2022-05-01 17:45:22 [info]: 	 
2022-05-01 17:45:22 [info]: 	gathering IPFS CID & SHA256 hashes to add to meta data file... 
2022-05-01 17:45:22 [info]: 	adding '/example1651427122420/example.json' with cid hash 'decc4839b2ac09fedf5cb84817cf6223373cce8362b7024749d2f9b3cee51f63' to meta data... 
2022-05-01 17:45:22 [info]: 	Init connection to xrp ledger: "wss://s.altnet.rippletest.net" 
2022-05-01 17:45:24 [info]: 	account secret appears valid: 'ss71fBzFpSXMixT6ZBoXNgkFeBo9y' 
2022-05-01 17:47:04 [info]: 	starting IPFS node for content distribution 
2022-05-01 17:47:04 [info]: 	[object Object] 
2022-05-01 17:47:04 [info]: 	user validated build settings for /Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651427224228 
2022-05-01 17:47:04 [info]: 	created build destination: '/Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651427224228' 
2022-05-01 17:47:04 [info]: 	copying date from source '/Users/utkashar/Documents/open-source/la-sbom-ledger/sbom-ledger/input/Example/content' to '/Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651427224228' 
2022-05-01 17:47:04 [info]: 	 
2022-05-01 17:47:04 [info]: 	gathering IPFS CID & SHA256 hashes to add to meta data file... 
2022-05-01 17:47:04 [info]: 	adding '/example1651427224228/example.json' with cid hash 'decc4839b2ac09fedf5cb84817cf6223373cce8362b7024749d2f9b3cee51f63' to meta data... 
2022-05-01 17:47:04 [info]: 	Init connection to xrp ledger: "wss://s.altnet.rippletest.net" 
2022-05-01 17:47:08 [info]: 	account secret appears valid: 'ss71fBzFpSXMixT6ZBoXNgkFeBo9y' 
